Ticker,Name,wiki_code
FSTA,FULLER SMITH & TURNER - A,unknown
FUM,FUTURA MEDICAL PLC,unknown
FUTR,FUTURE PLC,unknown
FXPO,FERREXPO PLC,Q5445324
GAL,GALANTAS GOLD CORP,unknown
GATC,GATTACA PLC,unknown
GAW,GAMES WORKSHOP GROUP PLC,unknown
GBG,GB GROUP PLC,unknown
GDR,GENEDRIVE PLC,unknown
GDWN,GOODWIN PLC,unknown
GEMD,GEM DIAMONDS LTD,unknown
GENL,GENEL ENERGY PLC,Q5531617
GFM,GRIFFIN MINING LIMITED,unknown
GFRD,GALLIFORD TRY HOLDINGS PLC,unknown
GHH,GOOCH & HOUSEGO PLC,unknown
GKP,GULF KEYSTONE PETROLEUM LTD,unknown
GLB,GLANBIA PLC,unknown
GLE,MJ GLEESON PLC,Q115167221
GLEN,GLENCORE PLC,Q169339
GMR,GAMING REALMS PLC,Q19653083
GNC,GREENCORE GROUP PLC,Q5603798
GNS,GENUS PLC,Q5533836
GOOD,GOOD ENERGY GROUP PLC,unknown
GRG,GREGGS PLC,Q3403981
GRI,GRAINGER PLC,unknown
GSK,GSK PLC,unknown
GTC,GETECH GROUP PLC,unknown
GUS,GUSBOURNE PLC,unknown
HAS,HAYS PLC,unknown
HAT,H&T GROUP PLC,unknown
HCM,HUTCHMED CHINA LTD,unknown
HDD,HARDIDE PLC,unknown
HEAD,HEADLAM GROUP PLC,Q5689662
HFD,HALFORDS GROUP PLC,unknown
HFG,HILTON FOOD GROUP  PLC,Q55613750
HIK,HIKMA PHARMACEUTICALS PLC,Q12179266
HILS,HILL & SMITH PLC,unknown
HLMA,HALMA PLC,Q5643254
HOC,HOCHSCHILD MINING PLC,unknown
HRN,HORNBY PLC,unknown
HSBA,HSBC HOLDINGS PLC,unknown
HSD,HANSARD GLOBAL PLC,Q5650964
HSP,HARGREAVES SERVICES PLC,unknown
HSX,HISCOX LTD,Q821058
HTG,HUNTING PLC,unknown
HUM,HUMMINGBIRD RESOURCES PLC,unknown
HUW,HELIOS  UNDERWRITING PLC,unknown
HWDN,HOWDEN JOINERY GROUP PLC,unknown
HWG,HARWORTH GROUP PLC,Q115167601
IAG,INTL CONSOLIDATED AIRLINE-DI,unknown
IBM,INTL BUSINESS MACHINES CORP,unknown
ICG,INTERMEDIATE CAPITAL GROUP,Q6047302
IDOX,IDOX PLC,unknown
IES,INVINITY ENERGY SYSTEMS PLC,unknown
IGG,IG GROUP HOLDINGS PLC,Q481356
IGP,INTERCEDE GROUP PLC,unknown
IGR,IG DESIGN GROUP PLC,unknown
IHC,INSPIRATION HEALTHCARE GROUP,unknown
IHG,INTERCONTINENTAL HOTELS GROU,unknown
III,3I GROUP PLC,unknown
IKA,ILIKA PLC,unknown
IMB,IMPERIAL BRANDS PLC,Q1471161
IMI,IMI PLC,unknown
IMM,IMMUPHARMA PLC,Q19653147
INCH,INCHCAPE PLC,Q1423812
INDI,INDUS GAS LTD,unknown
INF,INFORMA PLC,Q680946
ING,INGENTA PLC,unknown
INSE,INSPIRED PLC,unknown
INVP,INVESTEC PLC,Q1671741
IOM,IOMART GROUP PLC,unknown
IPF,INTERNATIONAL PERSONAL FINAN,unknown
IPO,IP GROUP PLC,unknown
IPX,IMPAX ASSET MANAGEMENT GROUP,Q16994758
IQE,IQE PLC,unknown
IQG,IQGEO GROUP PLC,unknown
ITM,ITM POWER PLC,unknown
ITRK,INTERTEK GROUP PLC,Q1136085
ITV,ITV PLC,unknown
ITX,ITACONIX PLC,unknown
IWG,INTERNATIONAL WORKPLACE GROU,unknown
IXI,IXICO PLC,Q19653203
JAR,JARDINE MATHESON HLDGS LTD,unknown
JDG,JUDGES SCIENTIFIC PLC,unknown
JDW,WETHERSPOON (J.D.) PLC,unknown
JEL,JERSEY ELECTRICITY PLC,unknown
JET2,JET2 PLC,unknown
JHD,JAMES HALSTEAD PLC,unknown
JIM,JARVIS SECURITIES PLC,unknown
JMAT,JOHNSON MATTHEY PLC,Q502470
JNEO,JOURNEO PLC,unknown
JOG,JERSEY OIL & GAS PLC,unknown
JSG,JOHNSON SERVICE GROUP PLC,unknown
JUP,JUPITER FUND MANAGEMENT,Q6314611
JWNG,JAYWING PLC,unknown
KBT,K3 BUSINESS TECHNOLOGY GROUP,unknown
KDR,KARELIAN DIAMOND RESOURCES,unknown
KGF,KINGFISHER PLC,unknown
KIE,KIER GROUP PLC,Q3196454
KLR,KELLER GROUP PLC,Q6385678
KMR,KENMARE RESOURCES PLC,unknown
KNM,KONAMI GROUP CORP,unknown
KRS,KERAS RESOURCES PLC,unknown
KWG,KINGSWOOD HOLDINGS LTD,unknown
KYGA,KERRY GROUP PLC-A,unknown
LAS,LONDON & ASSOC PROP PLC,unknown
LEND,SANCUS LENDING GROUP LTD,unknown
LFI,LONDON FINANCE & INVT GROUP,unknown
LGEN,LEGAL & GENERAL GROUP PLC,unknown
LIO,LIONTRUST ASSET MANAGEMENT,Q96387638
LIV,LIVERMORE INVESTMENTS GROUP,unknown
LLOY,LLOYDS BANKING GROUP PLC,Q1152764
LND,LANDORE RESOURCES LTD,unknown
LPA,LPA GROUP PLC,unknown
LRE,LANCASHIRE HOLDINGS LTD,unknown
LSC,LONDON SECURITY PLC,unknown
LSEG,LONDON STOCK EXCHANGE GROUP,Q5573225
LSL,LSL PROPERTY SERVICES PLC,unknown
LTG,LEARNING TECHNOLOGIES GROUP,unknown
LTHM,LATHAM (JAMES) PLC,unknown
MAB,MITCHELLS & BUTLERS PLC,Q1939537
MACF,MACFARLANE GROUP PLC,unknown
MAI,MAINTEL HOLDINGS PLC,unknown
MARS,MARSTON'S PLC,unknown
MBH,MICHELMERSH BRICK HOLDINGS P,unknown
MCB,MCBRIDE PLC,unknown
MEGP,ME GROUP INTERNATIONAL PLC,unknown
MER,MEARS GROUP PLC,Q19903450
MGAM,MORGAN ADVANCED MATERIALS PL,unknown
MGNS,MORGAN SINDALL GROUP PLC,unknown
MKS,MARKS & SPENCER GROUP PLC,unknown
MLVN,MALVERN INTERNATIONAL PLC,unknown
MNDI,MONDI PLC,Q779252
MONY,MONY GROUP PLC,unknown
MPAC,MPAC GROUP PLC,unknown
MPE,M P EVANS GROUP PLC,unknown
MPL,MERCANTILE PORTS AND LOGISTI,unknown
MRL,MARLOWE PLC,unknown
MRO,MELROSE INDUSTRIES PLC,Q3305280
MSI,MS INTERNATIONAL PLC,unknown
MSLH,MARSHALLS PLC,unknown
MTC,MOTHERCARE PLC,Q136738
MTO,MITIE GROUP PLC,unknown
MTVW,MOUNTVIEW ESTATES PLC,Q115167201
MUL,MULBERRY GROUP PLC,unknown
MWE,MTI WIRELESS EDGE LTD,unknown
MYX,MYCELX TECHNOLOGIES CORP-ADD,unknown
NANO,NANOCO GROUP PLC,unknown
NAR,NORTHAMBER PLC,unknown
NBB,NORMAN BROADBENT PLC,unknown
NCC,NCC GROUP PLC,unknown
NET,NETCALL PLC,unknown
NFG,NEXT 15 GROUP PLC,unknown
NICL,NICHOLS PLC,unknown
NOG,NOSTRUM OIL & GAS PLC,Q18085561
NTBR,NORTHERN BEAR PLC,unknown
NTQ,ENTEQ TECHNOLOGIES PLC,unknown
NWF,NWF GROUP PLC,unknown
NWG,NATWEST GROUP PLC,unknown
NWT,NEWMARK SECURITY PLC,Q19652784
NXR,NORCROS PLC,Q115167504
NXT,NEXT PLC,Q246655
OCDO,OCADO GROUP PLC,unknown
OCN,OCEAN WILSONS HOLDINGS LTD,unknown
OMG,OXFORD METRICS PLC,unknown
OPG,OPG POWER VENTURES PLC,unknown
OPTI,OPTIBIOTIX HEALTH PLC,unknown
OXB,OXFORD BIOMEDICA PLC,Q17019665
OXIG,OXFORD INSTRUMENTS PLC,Q7115375
PAF,PAN AFRICAN RESOURCES PLC,unknown
PAG,PARAGON BANKING GROUP PLC,Q7134595
PAGE,PAGEGROUP PLC,unknown
PANR,PANTHEON RESOURCES PLC,unknown
PAY,PAYPOINT PLC,unknown
PCIP,PCI-PAL PLC,unknown
PDL,PETRA DIAMONDS LTD-DI,unknown
PEG,PETARDS GROUP PLC,unknown
PEN,PENNANT INTL GROUP PLC,unknown
PFC,PETROFAC LTD,unknown
PFD,PREMIER FOODS PLC,Q7240301
PGH,PERSONAL GROUP HOLDINGS PLC,Q115167210
PHAR,PHAROS ENERGY PLC,Q3488740
PHNX,PHOENIX GROUP HOLDINGS PLC,unknown
PHSC,PHSC PLC,unknown
PMG,PARKMEAD GROUP PLC/THE,unknown
PMP,PORTMEIRION GROUP PLC,unknown
PNN,PENNON GROUP PLC,Q278810
PNS,PANTHER SECURITIES PLC,unknown
POLR,POLAR CAPITAL HOLDINGS PLC,unknown
POS,PLEXUS HOLDINGS PLC,Q19652853
POW,POWER METAL RESOURCES PLC,unknown
PPH,PPHE HOTEL GROUP LTD,unknown
PRES,PRESSURE TECHNOLOGIES PLC,unknown
PRU,PRUDENTIAL PLC,Q1374135
PRV,PORVAIR PLC,unknown
PSN,PERSIMMON PLC,Q1118657
PSON,PEARSON PLC,Q1916402
PTEC,PLAYTECH PLC,Q583242
PZC,PZ CUSSONS PLC,unknown
RAT,RATHBONES GROUP PLC,unknown
RBN,ROBINSON PLC,unknown
RCDO,RICARDO PLC,unknown
RCH,REACH PLC,unknown
REAT,REACT GROUP PLC,unknown
REC,RECORD PLC,Q115167308
REE,ALTONA RARE EARTHS PLC,unknown
REL,RELX PLC,Q998470
RFG,ROEBUCK FOOD GROUP PLC,unknown
RICO,RICOH CO LTD,unknown
RIO,RIO TINTO PLC,Q821293
RKH,ROCKHOPPER EXPLORATION PLC,Q7355289
RKT,RECKITT BENCKISER GROUP PLC,unknown
RMV,RIGHTMOVE PLC,Q7333751
RNK,RANK GROUP PLC,unknown
